file_id,filename,original_path,lines_of_code,php_version_changes,has_version_changes,selection_score,size_category
34,260_inline.php,"wordpress_4.0/wp-includes\Text\Diff\Renderer\inline.php",206,6,True,161.0,medium
35,295_wp-trackback.php,"wordpress_4.0/wp-trackback.php",127,5,True,154.0,small
36,130_module.tag.apetag.php,"wordpress_4.0/wp-includes\ID3\module.tag.apetag.php",370,5,True,154.0,medium
37,137_class-wp-ms-sites-list-table.php,"wordpress_4.0/wp-admin\includes\class-wp-ms-sites-list-table.php",402,5,True,154.0,medium
38,259_class.wp-styles.php,"wordpress_4.0/wp-includes\class.wp-styles.php",210,5,True,154.0,medium
39,079_class-wp-upgrader-skins.php,"wordpress_4.0/wp-admin\includes\class-wp-upgrader-skins.php",767,5,True,154.0,large
40,114_class-wp-media-list-table.php,"wordpress_4.0/wp-admin\includes\class-wp-media-list-table.php",564,5,True,154.0,large
41,184_module.tag.lyrics3.php,"wordpress_4.0/wp-includes\ID3\module.tag.lyrics3.php",294,5,True,152.0,medium
42,072_image-edit.php,"wordpress_4.0/wp-admin\includes\image-edit.php",828,5,True,150.0,large
43,110_image.php,"wordpress_4.0/wp-admin\includes\image.php",598,5,True,150.0,large
44,174_class-wp-image-editor.php,"wordpress_4.0/wp-includes\class-wp-image-editor.php",471,5,True,149.0,medium
45,181_Locator.php,"wordpress_4.0/wp-includes\SimplePie\Locator.php",372,5,True,149.0,medium
46,098_module.audio-video.flv.php,"wordpress_4.0/wp-includes\ID3\module.audio-video.flv.php",729,5,True,149.0,large
47,083_update-core.php,"wordpress_4.0/wp-admin\update-core.php",649,5,True,148.0,large
48,229_about.php,"wordpress_4.0/wp-admin\about.php",193,5,True,146.0,small
49,169_Parser.php,"wordpress_4.0/wp-includes\SimplePie\Parser.php",407,5,True,146.0,medium
50,101_class-oembed.php,"wordpress_4.0/wp-includes\class-oembed.php",579,5,True,146.0,large
51,208_ms-deprecated.php,"wordpress_4.0/wp-includes\ms-deprecated.php",347,5,True,144.0,medium
52,142_class-wp-ms-themes-list-table.php,"wordpress_4.0/wp-admin\includes\class-wp-ms-themes-list-table.php",459,5,True,140.0,medium
53,204_class-wp-themes-list-table.php,"wordpress_4.0/wp-admin\includes\class-wp-themes-list-table.php",279,5,True,140.0,medium
54,078_nav-menu.php,"wordpress_4.0/wp-includes\nav-menu.php",895,5,True,140.0,large
55,099_rss.php,"wordpress_4.0/wp-includes\rss.php",936,5,True,140.0,large
56,063_class.akismet.php,"wordpress_4.0/wp-content\plugins\akismet\class.akismet.php",933,4,True,140.0,large
57,068_class-wp-customize-manager.php,"wordpress_4.0/wp-includes\class-wp-customize-manager.php",1272,4,True,140.0,extra_large
58,196_session.php,"wordpress_4.0/wp-includes\session.php",425,4,True,140.0,medium
59,241_credits.php,"wordpress_4.0/wp-admin\credits.php",192,5,True,139.0,small
60,126_themes.php,"wordpress_4.0/wp-admin\themes.php",374,5,True,138.0,medium
61,247_class.wp-scripts.php,"wordpress_4.0/wp-includes\class.wp-scripts.php",247,5,True,138.0,medium
62,218_string.php,"wordpress_4.0/wp-includes\Text\Diff\Engine\string.php",248,5,True,136.0,medium
63,191_module.audio.dts.php,"wordpress_4.0/wp-includes\ID3\module.audio.dts.php",290,4,True,135.0,medium
64,151_wp-diff.php,"wordpress_4.0/wp-includes\wp-diff.php",523,5,True,132.0,large
65,154_class-wp-image-editor-imagick.php,"wordpress_4.0/wp-includes\class-wp-image-editor-imagick.php",511,5,True,132.0,large
66,162_class.wp-dependencies.php,"wordpress_4.0/wp-includes\class.wp-dependencies.php",509,5,True,132.0,large
67,144_user.php,"wordpress_4.0/wp-admin\includes\user.php",442,4,True,131.0,medium
68,115_revision.php,"wordpress_4.0/wp-includes\revision.php",657,4,True,131.0,large
69,161_class-wp-image-editor-gd.php,"wordpress_4.0/wp-includes\class-wp-image-editor-gd.php",459,4,True,127.0,medium
70,203_File.php,"wordpress_4.0/wp-includes\SimplePie\File.php",292,4,True,126.0,medium
71,108_plugins.php,"wordpress_4.0/wp-admin\plugins.php",455,4,True,125.0,medium
72,157_class-wp-users-list-table.php,"wordpress_4.0/wp-admin\includes\class-wp-users-list-table.php",459,4,True,125.0,medium
73,233_site-settings.php,"wordpress_4.0/wp-admin\network\site-settings.php",173,4,True,123.0,small
74,234_site-themes.php,"wordpress_4.0/wp-admin\network\site-themes.php",185,3,True,102.0,small
75,278_my-sites.php,"wordpress_4.0/wp-admin\my-sites.php",145,3,True,102.0,small
76,284_upgrade.php,"wordpress_4.0/wp-admin\network\upgrade.php",120,3,True,102.0,small
77,298_post-thumbnail-template.php,"wordpress_4.0/wp-includes\post-thumbnail-template.php",142,3,True,102.0,small
78,267_media.php,"wordpress_4.0/wp-admin\media.php",146,3,True,100.0,small
79,317_load-styles.php,"wordpress_4.0/wp-admin\load-styles.php",153,3,True,95.0,small
80,226_site-info.php,"wordpress_4.0/wp-admin\network\site-info.php",178,3,True,94.0,small
81,246_site-new.php,"wordpress_4.0/wp-admin\network\site-new.php",153,3,True,94.0,small
82,265_import.php,"wordpress_4.0/wp-admin\import.php",132,3,True,94.0,small
83,269_shell.php,"wordpress_4.0/wp-includes\Text\Diff\Engine\shell.php",162,3,True,94.0,small
84,270_class-wp-ajax-response.php,"wordpress_4.0/wp-includes\class-wp-ajax-response.php",199,3,True,94.0,small
85,294_async-upload.php,"wordpress_4.0/wp-admin\async-upload.php",114,3,True,94.0,small
86,300_user-new.php,"wordpress_4.0/wp-admin\network\user-new.php",106,3,True,94.0,small
87,301_Restriction.php,"wordpress_4.0/wp-includes\SimplePie\Restriction.php",155,3,True,90.0,small
88,302_Credit.php,"wordpress_4.0/wp-includes\SimplePie\Credit.php",156,3,True,90.0,small
89,303_Category.php,"wordpress_4.0/wp-includes\SimplePie\Category.php",157,3,True,90.0,small
90,308_Author.php,"wordpress_4.0/wp-includes\SimplePie\Author.php",157,3,True,90.0,small
91,311_Rating.php,"wordpress_4.0/wp-includes\SimplePie\Rating.php",129,3,True,90.0,small
92,314_Copyright.php,"wordpress_4.0/wp-includes\SimplePie\Copyright.php",130,3,True,90.0,small
93,264_vars.php,"wordpress_4.0/wp-includes\vars.php",144,3,True,87.0,small
94,330_class.akismet-widget.php,"wordpress_4.0/wp-content\plugins\akismet\class.akismet-widget.php",110,3,True,86.0,small
95,327_class-wp-http-ixr-client.php,"wordpress_4.0/wp-includes\class-wp-http-ixr-client.php",97,3,True,82.0,small
96,262_class-ftp-pure.php,"wordpress_4.0/wp-admin\includes\class-ftp-pure.php",190,3,True,81.0,small
97,290_class-wp-customize-section.php,"wordpress_4.0/wp-includes\class-wp-customize-section.php",196,2,True,80.0,small
98,331_wp-load.php,"wordpress_4.0/wp-load.php",73,3,True,75.0,small
99,335_ms-files.php,"wordpress_4.0/wp-includes\ms-files.php",82,3,True,75.0,small
100,341_wp-links-opml.php,"wordpress_4.0/wp-links-opml.php",80,3,True,74.0,small
